HOLE:	984b
LEG:	162
TOP:	119.786003
BOTTOM:	488.441589

DEPTH	CALI

309.0668	12.4020
309.2192	12.4090
309.3716	12.4122
309.5240	12.4080
309.6764	12.4094
309.8288	12.4054
309.9812	12.4054
310.1336	12.4147
310.2860	12.3980
310.4384	12.4183
310.5908	12.3986
310.7432	12.4142
310.8956	12.4031
311.0480	12.4169
311.2004	12.4160
311.3528	12.4170
311.5052	12.4651
311.6576	12.4998
311.8100	12.4996
311.9624	12.5292
312.1148	12.6559
312.2672	12.6647
312.4196	12.6677
312.5720	12.6672
312.7244	12.6747
312.8768	12.6641
313.0292	12.6609
313.1816	12.6791
313.3340	12.6626
313.4864	12.6737
313.6388	12.6675
313.7912	12.6653
313.9436	12.6656
314.0960	12.6732
314.2484	12.6690
314.4008	12.6609
314.5532	12.6753
314.7056	12.6642
314.8580	12.6698
315.0104	12.6726
315.1628	12.6657
315.3152	12.4931
315.4676	12.2828
315.6200	12.2727
315.7724	12.2844
315.9248	12.2903
316.0772	12.2763
316.2296	12.2816
316.3820	12.2899
316.5344	12.2777
316.6868	12.2036
316.8392	12.1708
316.9916	12.1594
317.1440	12.0543
317.2964	11.9048
317.4488	11.9018
317.6012	11.9114
317.7536	11.9082
317.9060	11.9019
318.0584	11.9126
318.2108	11.9015
318.3632	11.9094
318.5156	11.9062
318.6680	11.9070
318.8204	11.9118
318.9728	11.8997
319.1252	11.9131
319.2776	11.8994
319.4300	11.9078
319.5824	11.9094
319.7348	11.9092
319.8872	11.9085
320.0396	11.9020
320.1920	11.9048
320.3444	11.9124
320.4968	11.9007
320.6492	11.9085
320.8016	11.9126
320.9540	11.9025
321.1064	11.9098
321.2588	11.8988
321.4112	11.9126
321.5636	11.9038
321.7160	11.9062
321.8684	11.9089
322.0208	11.9070
322.1732	11.9107
322.3256	11.9082
322.4780	11.9015
322.6304	11.9031
322.7828	11.9133
322.9352	11.9048
323.0876	11.9017
323.2400	11.9128
323.3924	11.9038
323.5448	11.9115
323.6972	11.9071
323.8496	11.9006
324.0020	11.9113
324.1544	11.9029
324.3068	11.9092
324.4592	11.9071
324.6116	11.9029
324.7640	11.9111
324.9164	11.9040
325.0688	11.9094
325.2212	11.9061
325.3736	11.9027
325.5260	11.9120
325.6784	11.9065
325.8308	11.9084
325.9832	11.9073
326.1356	11.9040
326.2880	11.9043
326.4404	11.9142
326.5928	11.9051
326.7452	11.9050
326.8976	11.9076
327.0500	11.9040
327.2024	11.9062
327.3548	11.9087
327.5072	11.9042
327.6596	11.9092
